customer_id,gender,marital,education,job_status,income,age
13069041,M,MARRIED,HIGH SCHOOL,UNEMPLOYED,0,44
13115492,F,MARRIED,COLLEGE,UNEMPLOYED,720,29
13234403,M,MARRIED,COLLEGE,UNEMPLOYED,10000,44
13242800,M,MARRIED,COLLEGE,UNEMPLOYED,1500,34
13276311,M,MARRIED,COLLEGE,UNEMPLOYED,2500,44
13380437,M,MARRIED,UNIVERSITY,UNEMPLOYED,5700,44
13409658,F,MARRIED,COLLEGE,UNEMPLOYED,6000,29
13422987,M,MARRIED,COLLEGE,UNEMPLOYED,2500,30
13455251,M,MARRIED,COLLEGE,UNEMPLOYED,400,48
13460865,M,MARRIED,UNIVERSITY,UNEMPLOYED,0,44
13524211,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,0,35
13581679,F,MARRIED,COLLEGE,UNEMPLOYED,2500,44
13686476,F,MARRIED,COLLEGE,UNEMPLOYED,0,34
13832072,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,2000,39
13837809,F,MARRIED,UNIVERSITY,UNEMPLOYED,2280,32
13866978,M,MARRIED,COLLEGE,UNEMPLOYED,2500,50
13884301,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,0,43
14079040,M,MARRIED,HIGH SCHOOL,UNEMPLOYED,0,40
14090576,M,MARRIED,COLLEGE,UNEMPLOYED,0,49
14164505,M,MARRIED,COLLEGE,UNEMPLOYED,3500,43
14180499,M,MARRIED,UNIVERSITY,UNEMPLOYED,0,33
14191226,M,MARRIED,COLLEGE,UNEMPLOYED,0,34
14257375,M,MARRIED,COLLEGE,UNEMPLOYED,1000,46
14264637,M,MARRIED,COLLEGE,UNEMPLOYED,3000,42
14291229,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,4000,37
14299646,M,MARRIED,COLLEGE,UNEMPLOYED,750,45
14305249,F,MARRIED,COLLEGE,UNEMPLOYED,1500,40
14379069,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,8000,39
14431645,F,MARRIED,UNIVERSITY,UNEMPLOYED,0,32
14444515,M,MARRIED,COLLEGE,UNEMPLOYED,2000,49
14498642,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,1500,33
14589484,M,MARRIED,COLLEGE,UNEMPLOYED,0,26
14917975,M,MARRIED,COLLEGE,UNEMPLOYED,2000,34
15070576,M,MARRIED,UNIVERSITY,UNEMPLOYED,0,30
15192248,F,MARRIED,UNIVERSITY,UNEMPLOYED,0,39
15223767,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,2500,33
15261123,F,MARRIED,UNIVERSITY,UNEMPLOYED,2500,32
15339950,F,MARRIED,COLLEGE,UNEMPLOYED,3000,30
15351136,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,5000,53
15443096,M,MARRIED,COLLEGE,UNEMPLOYED,2500,75
15696675,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,0,34
15743173,M,MARRIED,UNEDUCATED,UNEMPLOYED,2500,33
15786463,M,MARRIED,COLLEGE,UNEMPLOYED,3000,31
15828563,M,MARRIED,UNIVERSITY,UNEMPLOYED,2000,35
15842451,M,MARRIED,UNEDUCATED,UNEMPLOYED,1500,29
15870945,F,MARRIED,UNIVERSITY,UNEMPLOYED,0,33
15904240,F,MARRIED,UNIVERSITY,UNEMPLOYED,2500,43
15967097,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,10000,35
16165031,M,MARRIED,COLLEGE,UNEMPLOYED,0,61
16190013,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,1750,47
16193400,M,MARRIED,COLLEGE,UNEMPLOYED,2000,43
16556617,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,2500,38
16574072,M,MARRIED,UNIVERSITY,UNEMPLOYED,5600,31
16621009,M,MARRIED,COLLEGE,UNEMPLOYED,20000,58
16835626,F,MARRIED,UNIVERSITY,UNEMPLOYED,0,42
17025317,M,MARRIED,COLLEGE,UNEMPLOYED,0,32
17065185,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,2000,36
17223979,M,MARRIED,COLLEGE,UNEMPLOYED,0,27
17267739,F,MARRIED,UNIVERSITY,UNEMPLOYED,0,33
17367267,M,MARRIED,UNIVERSITY,UNEMPLOYED,4000,44
17499134,M,MARRIED,COLLEGE,UNEMPLOYED,1000,50
17717725,F,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,0,32
17719333,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,15000,41
17761412,M,MARRIED,COLLEGE,UNEMPLOYED,10000,32
17871382,M,MARRIED,COLLEGE,UNEMPLOYED,3750,36
17906788,M,MARRIED,COLLEGE,UNEMPLOYED,0,33
17919579,M,MARRIED,UNIVERSITY,UNEMPLOYED,0,31
17957827,F,MARRIED,COLLEGE,UNEMPLOYED,0,32
18000489,M,MARRIED,COLLEGE,UNEMPLOYED,1200,30
18107036,M,MARRIED,UNEDUCATED,UNEMPLOYED,400,42
18185120,F,MARRIED,MASTERS,UNEMPLOYED,0,31
18247253,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,6500,52
18288368,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,2500,38
18374037,M,MARRIED,COLLEGE,UNEMPLOYED,2500,44
18469992,M,MARRIED,COLLEGE,UNEMPLOYED,2500,44
18497832,M,MARRIED,UNIVERSITY,UNEMPLOYED,2500,32
18549273,M,MARRIED,HIGH SCHOOL,UNEMPLOYED,0,42
18713089,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,7000,31
18767607,M,MARRIED,UNIVERSITY,UNEMPLOYED,10000,40
18796607,M,MARRIED,COLLEGE,UNEMPLOYED,2500,38
19311550,M,MARRIED,UNIVERSITY,UNEMPLOYED,0,41
19345777,M,MARRIED,COLLEGE,UNEMPLOYED,1000,25
19361621,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,3000,38
19455432,F,MARRIED,COLLEGE,UNEMPLOYED,1500,26
19525505,M,MARRIED,UNIVERSITY,UNEMPLOYED,2600,38
19606389,F,MARRIED,COLLEGE,UNEMPLOYED,3000,30
19860783,M,MARRIED,HIGH SCHOOL,UNEMPLOYED,28000,29
20036782,F,MARRIED,COLLEGE,UNEMPLOYED,2500,37
20063492,M,MARRIED,COLLEGE,UNEMPLOYED,0,47
20119518,M,MARRIED,UNIVERSITY,UNEMPLOYED,0,31
20197402,M,MARRIED,COLLEGE,UNEMPLOYED,1102,36
20203117,M,MARRIED,HIGH SCHOOL,UNEMPLOYED,3000,41
20302806,M,MARRIED,COLLEGE,UNEMPLOYED,1500,36
20364141,M,MARRIED,UNEDUCATED,UNEMPLOYED,4000,32
20372965,M,MARRIED,UNIVERSITY,UNEMPLOYED,3000,37
20470153,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,1600,35
20505796,M,MARRIED,COLLEGE,UNEMPLOYED,6000,59
20665406,M,MARRIED,COLLEGE,UNEMPLOYED,2000,59
20704266,M,MARRIED,UNIVERSITY,UNEMPLOYED,0,46
20785153,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,2500,52
20839514,M,MARRIED,COLLEGE,UNEMPLOYED,1000,38
20850836,M,MARRIED,UNIVERSITY,UNEMPLOYED,4000,37
20865861,M,MARRIED,COLLEGE,UNEMPLOYED,3500,47
20872882,F,MARRIED,COLLEGE,UNEMPLOYED,0,44
20916804,M,MARRIED,COLLEGE,UNEMPLOYED,2050,28
21119703,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,2000,35
21212768,M,MARRIED,COLLEGE,UNEMPLOYED,0,28
21295588,M,MARRIED,COLLEGE,UNEMPLOYED,1200,38
21323681,M,MARRIED,COLLEGE,UNEMPLOYED,5000,35
21419536,M,MARRIED,COLLEGE,UNEMPLOYED,2200,30
21737999,F,MARRIED,MASTERS,UNEMPLOYED,5000,41
21779471,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,7000,43
21791397,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,3000,57
21807707,F,MARRIED,COLLEGE,UNEMPLOYED,5000,36
21833874,M,MARRIED,MASTERS,UNEMPLOYED,2750,30
21839977,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,1000,41
