districtID,NAME,所属省,区县,经济,Area_km2,province,city,county,town2010,Popu,Popu_float,Area_COMP,Pop_Sum,Dens_Pob
172,光明街道,北京市,顺义区,392,3.99562000000,北京市,北京市,顺义区,光明街道,54731,7818,3.99562000000,62549,15654.40000000000
173,胜利街道,北京市,顺义区,546,2.91237000000,北京市,北京市,顺义区,胜利街道,34858,7739,2.91237000000,42597,14626.20000000000
174,滨河街道,北京市,平谷区,432,3.22612000000,,,,,16244,2776,3.22612000000,19020,5895.63000000000
175,旺泉街道,北京市,顺义区,728,12.46470000000,北京市,北京市,顺义区,旺泉街道,44385,12720,12.46470000000,57105,4581.34000000000
176,马昌营镇,北京市,平谷区,89.8,28.05100000000,北京市,北京市,平谷区,马昌营镇,16303,2132,28.05100000000,18435,657.19600000000
177,北七家镇,北京市,昌平区,941.4,64.33030000000,北京市,北京市,昌平区,北七家镇,374742,258365,64.33030000000,633107,9841.51000000000
178,平谷镇,北京市,平谷区,,19.40320000000,北京市,北京市,平谷区,滨河街道,84108,11342,19.40320000000,95450,4919.29000000000
179,上庄镇,北京市,海淀区,70.3,37.92340000000,北京市,北京市,海淀区,上庄镇,44814,19514,37.92340000000,64328,1696.26000000000
180,南法信镇,北京市,顺义区,1008,19.98790000000,北京市,北京市,顺义区,南法信地区,26153,18346,19.98790000000,44499,2226.30000000000
181,兴谷街道,北京市,平谷区,729.9,8.11528000000,北京市,北京市,平谷区,兴谷街道,53000,11209,8.11528000000,64209,7912.11000000000
182,沙河镇,北京市,昌平区,1163.1,55.18370000000,北京市,北京市,昌平区,沙河地区,110808,64876,55.18370000000,175684,3183.62000000000
183,雁翅镇,北京市,门头沟区,4.2,377.86100000000,北京市,北京市,门头沟区,雁翅镇,6587,480,377.86100000000,7067,18.70260000000
184,大兴庄镇,北京市,平谷区,30.9,24.70990000000,北京市,北京市,平谷区,大兴庄镇,17297,1452,24.70990000000,18749,758.76500000000
185,南彩镇,北京市,顺义区,616,57.43370000000,北京市,北京市,顺义区,南彩镇,50639,14655,57.43370000000,65294,1136.86000000000
186,高丽营镇,北京市,顺义区,798,60.85800000000,北京市,北京市,顺义区,高丽营镇,44461,21717,60.85800000000,66178,1087.42000000000
187,马坡镇,北京市,顺义区,210,38.19100000000,北京市,北京市,顺义区,马坡地区,10850,4878,38.19100000000,15728,411.82500000000
188,北务镇,北京市,顺义区,448,156.80200000000,北京市,北京市,顺义区,北务镇,11413,2428,156.80200000000,13841,88.27060000000
189,杨镇,北京市,顺义区,532,95.76890000000,北京市,北京市,顺义区,杨镇地区,54406,10650,95.76890000000,65056,679.30200000000
190,小汤山镇,北京市,昌平区,563.5,70.72710000000,北京市,北京市,昌平区,小汤山镇,55737,26570,70.72710000000,82307,1163.73000000000
191,马池口镇,北京市,昌平区,216.1,63.57680000000,北京市,北京市,昌平区,马池口地区,73905,40447,63.57680000000,114352,1798.64000000000
