districtID,districtNAME,districtProvince,districtRegion,Perimeter,Area,Economy
261,喇叭沟门满族乡,北京市,怀柔区,124257.01898300000,520980219.79199999571,3.6
262,黄松峪乡,北京市,平谷区,69707.04940020001,110539642.65999999642,12.4
263,漷县镇,北京市,通州区,91598.19009819999,188341391.64300000668,266.3
264,金海湖地区,北京市,平谷区,81896.79430670000,221142128.46399998665,37.9
265,蒲洼乡,北京市,房山区,59474.40982700000,149523820.67699998617,1
266,张坊镇,北京市,房山区,88495.11560130000,205242408.23399999738,10.8
267,大石窝镇,北京市,房山区,72609.16636880000,152728554.01899999380,20.9
268,长沟镇,北京市,房山区,37833.79767020000,69856103.39249999821,62.6
269,韩村河镇,北京市,房山区,78839.99189350000,174436541.95100000501,163.7
270,礼贤镇,北京市,大兴区,71472.82216120001,154686109.68200001121,23.7
271,庞各庄镇,北京市,大兴区,73046.21883000000,190314373.41400000453,263.5
272,清源街道,北京市,大兴区,19309.70007370000,20914209.81480000168,571.2
273,北臧村镇,北京市,大兴区,45779.64561280000,78967019.75800000131,68
274,兴丰街道,北京市,大兴区,29361.61877320000,37169773.75890000165,267.2
275,于家务回族乡,北京市,通州区,59570.64508260000,116873966.26299999654,141.6
276,永乐店镇,北京市,通州区,67853.83805530000,165544712.33399999142,220.7
277,西集镇,北京市,通州区,86333.26452470000,168857629.00400000811,213.6
278,康庄镇,北京市,延庆区,52268.44953740000,159513234.92399999499,385.87323
279,天竺镇,北京市,顺义区,49675.50023520000,38601510.98900000006,882
280,夏各庄镇,北京市,平谷区,53214.82885070000,94022840.77660000324,39.2
281,南独乐河镇,北京市,平谷区,81689.77961390000,118794472.25499999523,17.3
282,回龙观镇,北京市,昌平区,21314.01675230000,11994644.90090000071,
283,燕园街道,北京市,海淀区,1477.06937963000,132451.87005000000,
284,燕园街道,北京市,海淀区,2514.39919514000,306848.77982100000,
285,燕园街道,北京市,海淀区,2955.28576996000,559065.76186900004,
286,崇文门外街道,北京市,东城区,6372.23100726000,2218579.80966999987,747.2
